Date received,Product,Sub-product,Issue,Complaint list,Company,State,Tags,Date sent,Company response,Timely response,Consumer disputed,Date difference(%)
20-12-2015,Debt collection,Credit card,Cont'd attempts collect debt not owed,No public response provided,"Mitchell Rubenstein & Associates, P.C.",VA,Servicemember,20-12-2015,Closed with explanation,Yes,No,0
01-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Convergent Resources, Inc.",TX,Servicemember,01-04-2017,Closed with explanation,Yes,No,0
28-01-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"Retrieval-Masters Creditors Bureau, Inc., Elmsford, NY Branch",TX,Older American,28-01-2017,Closed with explanation,Yes,No,0
01-02-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,responds  only to consumer,WELLS FARGO & COMPANY,FL,Older American,01-02-2017,Closed with explanation,Yes,Yes,0
04-12-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,CA,Servicemember,07-12-2016,Closed,Yes,No,11.87
13-11-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,Holloway Credit Solutions,GA,Servicemember,16-11-2015,Closed with explanation,Yes,No,11.87
11-03-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Receivables Performance Management, LLC",PR,Servicemember,15-03-2016,Closed with explanation,Yes,Yes,15.83
09-01-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,Linebarger Goggan Blair & Sampson LLP,TX,Servicemember,17-02-2017,Closed with explanation,Yes,Yes,154.33
11-07-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"COLLECTION SERVICES OF ATHENS, INC.",GA,Servicemember,08-08-2016,Closed with explanation,Yes,No,110.78
27-09-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,TX,Older American,29-09-2016,Closed,Yes,No,7.92
07-04-2016,Debt collection,Credit card,Improper contact or sharing of info,Acted by contract/law,Johnson Mark LLC,OR,Older American,07-04-2016,Closed with explanation,Yes,No,0
31-07-2015,Debt collection,Medical,False statements or representation,company disputing complaint,"Collection Services, Inc.",FL,Older American,12-08-2015,Closed with explanation,Yes,No,47.48
25-12-2015,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,"PDQ Services, Inc.",GA,"Older American, Servicemember",25-12-2015,Closed with explanation,Yes,Yes,0
20-03-2015,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,"National Credit Systems,Inc.",OH,Older American,20-03-2015,Closed with explanation,Yes,No,0
21-08-2016,Debt collection,Credit card,Taking/threatening an illegal action,Acted by contract/law,Financial Business and Consumer Solutions.,GA,"Older American, Servicemember",24-08-2016,Closed with explanation,Yes,No,11.88
23-10-2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,Third party action,First Associates Loan Servicing LLC,PA,Servicemember,23-10-2015,Closed with explanation,Yes,No,0
06-04-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Diversified Adjustment Service, Inc.",NY,Servicemember,06-04-2016,Closed with explanation,Yes,Yes,0
07-10-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,company disputing complaint,"Diversified Adjustment Service, Inc.",UT,Older American,07-10-2015,Closed with explanation,Yes,Yes,0
13-09-2016,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,HCFS Healthcare Financial Services of TeamHealth,FL,Older American,13-09-2016,Closed with explanation,Yes,Yes,0
20-12-2015,Debt collection,Medical,False statements or representation,company disputing complaint,Professional Service Bureau,AZ,Servicemember,21-12-2015,Closed with explanation,Yes,Yes,3.96
04-04-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Javitch, Block & Rathbone LLC",OH,Servicemember,04-04-2016,Closed with explanation,Yes,No,0
18-07-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Diversified Adjustment Service, Inc.",TX,Older American,18-07-2016,Closed with explanation,Yes,No,0
17-04-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,company disputing complaint,"Diversified Adjustment Service, Inc.",MN,Servicemember,17-04-2016,Closed with explanation,Yes,No,0
27-02-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,Financial Business and Consumer Solutions.,FL,Older American,27-02-2016,Closed with explanation,Yes,No,0
10-08-2015,Debt collection,Medical,False statements or representation,company disputing complaint,Professional Service Bureau,FL,Older American,13-08-2015,Closed with explanation,Yes,No,11.85
13-09-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,company disputing complaint,"Diversified Adjustment Service, Inc.",OH,Servicemember,13-09-2016,Closed with explanation,Yes,Yes,0
22-07-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Acted by contract/law,Siggi LLC,MD,Servicemember,27-07-2016,Closed with explanation,Yes,No,19.78
04-02-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"National Commercial Services, Inc",OH,Servicemember,04-02-2016,Closed with explanation,Yes,Yes,0
26-09-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,No public response provided,"CITIBANK, N.A.",DE,"Older American, Servicemember",26-09-2015,Closed with explanation,Yes,Yes,0
05-09-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,responds  only to consumer,"Burton Neil & Associates, P.C.",NJ,Older American,05-09-2016,Closed with explanation,Yes,Yes,0
12-08-2015,Debt collection,Credit card,Cont'd attempts collect debt not owed,No public response provided,"CITIBANK, N.A.",NY,Servicemember,12-08-2015,Closed with explanation,Yes,No,0
20-04-2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,responds  only to consumer,Performant Financial Corporation,KY,Servicemember,21-04-2016,Closed with explanation,Yes,No,3.96
23-06-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Acted by contract/law,"Malcolm S. Gerald and Associates, Inc.",VA,Servicemember,23-06-2016,Closed with explanation,No,No,0
30-09-2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,responds  only to consumer,WELLS FARGO & COMPANY,VA,Older American,17-10-2016,Closed with explanation,Yes,No,67.28
09-09-2015,Debt collection,Medical,Taking/threatening an illegal action,Acted by contract/law,Financial Business and Consumer Solutions.,CA,Servicemember,09-09-2015,Closed with explanation,Yes,No,0
06-11-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,Penn Credit Corporation,ME,Servicemember,06-11-2016,Closed with explanation,Yes,No,0
23-03-2017,Debt collection,Non-federal student loan,False statements or representation,Misunderstanding,MOHELA,AL,Servicemember,31-03-2017,Closed with explanation,Yes,No,31.67
16-12-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"National Credit Systems,Inc.",GA,Servicemember,16-12-2016,Closed with explanation,Yes,Yes,0
30-09-2015,Debt collection,Credit card,Taking/threatening an illegal action,No public response provided,"BANK OF AMERICA, NATIONAL ASSOCIATION",PA,Servicemember,30-09-2015,Closed with explanation,Yes,Yes,0
